CTT,CGGH,CGGHH,mhh,sigma
-3.0,-1.0,1.0,0.185,0.5996791124343872
-1.0,-0.5333,0.0,0.725,0.0015483198221772
-3.0,0.1333,0.0666,0.365,0.109149046242237
-1.0,0.5333,0.2666,0.025,0.0185072403401136
-1.5,0.6666,0.2666,0.575,0.0094892811030149
-1.0,0.8,-1.0,0.385,0.0524592287838459
0.5,0.6666,0.2666,0.665,0.000842276669573
-1.5,0.0,-0.2,0.135,0.3663830161094665
-1.0,-0.8,1.0,0.375,0.0332785360515117
-3.0,0.5333,0.0666,0.775,0.0031459850724786
0.5,0.0,0.0,0.745,0.0001899997005239
0.5,1.0,-0.2,0.20500000000000002,0.0021914928220212
0.0,0.2666,-0.2,0.765,0.0001086897682398
-1.5,0.5333,0.2666,0.555,0.0063931718468666
0.5,0.0,0.0,0.675,0.0003229295834898
-1.0,-1.0,1.0,0.575,0.0186644345521926
-1.0,0.8,0.0,0.425,0.0112465638667345
0.5,0.0,0.2666,0.435,0.0033717160113155
0.5,-0.8,-0.8,0.315,0.0148310111835598
0.5,1.0,-1.0,0.215,0.0251947492361068
-1.5,0.0,0.6,0.08499999999999999,0.2240856438875198
0.0,0.1333,-0.2,0.655,0.0002529760240577
-1.0,-1.0,-0.8,0.275,0.1035583838820457
-1.5,0.0,0.2666,0.025,0.0896389037370681
0.5,-0.5333,0.0666,0.455,0.0012190806446596
0.5,0.1333,0.0,0.20500000000000002,0.0045979875139892
0.5,-0.6,1.0,0.41500000000000004,0.0273113325238227
0.5,1.0,1.0,0.675,0.0073075504042208
-1.0,-0.6,1.0,0.14500000000000002,0.0840556919574737
-3.0,-0.5333,0.3333,0.525,0.0336533933877944
0.5,0.0,0.3333,0.015,0.0249944757670164
-1.5,-0.5333,0.3333,0.575,0.0089861527085304
-1.5,-0.6,0.6,0.365,0.0409748330712318
-1.5,-0.4,-0.2,0.575,0.0056946235708892
-1.0,0.2,0.0,0.495,0.0064846719615161
-1.5,0.2666,0.3333,0.11499999999999999,0.2813250720500946
-3.0,-0.8,-1.0,0.335,0.2808811962604523
-3.0,0.0,0.0,0.575,0.0179516896605491
-1.5,-1.0,-1.0,0.685,0.0101657109335064
-1.0,0.6666,-0.2,0.395,0.0146683920174837
-1.5,-0.6,-0.8,0.725,0.0045666727237403
-3.0,-0.8,0.0,0.08499999999999999,1.4844828844070437
-3.0,-1.0,-1.0,0.185,1.1826138496398926
0.5,0.2666,-0.2,0.275,0.0013682029675692
0.5,0.1333,0.2666,0.425,0.0035661910660564
-1.0,0.0,0.0,0.265,0.0569075308740139
-1.5,0.1333,-0.2,0.485,0.0185913890600204
-1.0,-0.5333,-0.2,0.095,0.2718442976474762
-1.0,-0.8,-1.0,0.685,0.0094107175245881
-1.0,-0.8,1.0,0.275,0.0536893047392368
-3.0,-1.0,0.0,0.455,0.0556742176413536
-1.5,0.0,0.0666,0.515,0.0094662550836801
0.5,1.0,0.6,0.625,0.0033284316305071
-1.5,-0.6,-0.8,0.785,0.0074802273884415
-1.5,-1.0,0.0,0.34500000000000003,0.0497481971979141
0.5,1.0,-1.0,0.185,0.0230483803898096
0.5,-1.0,-0.8,0.245,0.019965736195445
0.5,-1.0,-0.2,0.435,0.0013473491417244
-1.0,0.2,-0.8,0.135,0.3942969143390656
-1.5,-0.6,-1.0,0.315,0.1358047574758529
0.5,0.1333,0.0666,0.735,0.0001495798060204
-3.0,-0.4,0.3333,0.755,0.004172938875854
-1.5,0.2666,0.0666,0.775,0.0023995744995772
-1.0,0.1333,0.0,0.255,0.0593431368470192
-3.0,-0.5333,0.3333,0.07500000000000001,0.9165381789207458
0.5,0.0,0.2666,0.745,0.0008097767713479
-3.0,0.2666,0.0,0.095,1.200512170791626
-1.5,0.8,0.6,0.545,0.0186478625982999
-1.0,0.0,0.0666,0.035,0.0775728747248649
-1.0,-1.0,-0.2,0.595,0.0040385778993368
-3.0,0.0,1.0,0.41500000000000004,0.0979838073253631
-1.5,0.6666,-0.2,0.715,0.0031818284187465
-1.5,1.0,-0.2,0.425,0.0256786216050386
0.5,-0.4,0.0,0.575,0.000466167461127
-3.0,0.1333,0.3333,0.025,0.3684424459934234
-1.0,-0.4,0.2666,0.575,0.0041755544953048
-1.5,-0.4,0.2666,0.765,0.002306202892214
0.5,-0.8,-1.0,0.305,0.0274531003087759
-1.5,0.8,1.0,0.465,0.0354304313659668
-3.0,-0.8,-1.0,0.745,0.00363101484254
-3.0,-0.8,0.6,0.255,0.3663780093193054
-1.0,0.0,0.3333,0.385,0.0154042216017842
-1.5,-1.0,0.0,0.775,0.001515757991001
-3.0,0.2666,0.0666,0.035,0.5077731013298035
0.0,0.0,0.0,0.465,0.0001621340052224
-1.5,0.0,0.2666,0.475,0.0158549435436725
-1.5,0.0,1.0,0.515,0.0265868231654167
-3.0,-0.8,-0.8,0.645,0.0283427964895963
0.5,0.8,0.0,0.045,0.0225076768547296
-1.5,-0.6,-1.0,0.025,0.5584971308708191
-1.5,0.6666,0.2666,0.595,0.0087285824120044
-3.0,0.0,-0.2,0.11499999999999999,1.5357463359832764
0.5,0.2,-0.2,0.405,0.0013069310225546
0.5,0.1333,0.0666,0.6950000000000001,0.000231440848438
-1.5,-0.6,0.6,0.10500000000000001,0.2651298642158508
-1.5,-0.8,0.6,0.575,0.0109314573928713
-1.0,0.8,1.0,0.665,0.0142866438254714
0.5,0.2666,-0.2,0.595,0.0006419667624868
-1.5,-0.6,-1.0,0.41500000000000004,0.0765419006347656
-1.5,0.5333,0.2666,0.10500000000000001,0.269915759563446
-1.0,-0.6,0.6,0.435,0.0157837979495525
0.0,0.1333,0.2666,0.305,0.0040690889582037
-1.5,1.0,-1.0,0.615,0.0164468009024858
-1.5,-0.5333,0.3333,0.055,0.1659534275531768
-3.0,0.0,0.6,0.07500000000000001,0.8745097517967224
-3.0,0.2,-1.0,0.335,0.2870383560657501
-1.0,-0.8,-0.2,0.28500000000000003,0.0502228029072284
-1.5,0.2666,-0.2,0.295,0.0783478021621704
-1.0,0.6666,0.3333,0.065,0.0556336976587772
0.5,0.6666,0.3333,0.07500000000000001,0.037299271672964
0.5,0.2,0.6,0.545,0.00615891860798
-3.0,1.0,0.0,0.605,0.0270105265080928
0.5,0.5333,0.0666,0.015,0.0212343633174896
-1.0,1.0,-0.2,0.485,0.0079731540754437
0.0,0.6666,-0.2,0.665,0.0001163471315521
-1.0,-0.4,0.0,0.535,0.0035202424041926
-1.5,-0.4,0.0,0.425,0.0230911970138549
0.5,-0.8,1.0,0.175,0.0944790467619896
-1.5,-0.6,0.0,0.595,0.0053887078538537
-3.0,-0.5333,0.0,0.405,0.1063191220164299
0.0,-0.5333,0.0666,0.265,0.0021276236511766
-1.5,-0.8,-1.0,0.745,0.0122637301683425
0.5,-1.0,-0.2,0.08499999999999999,0.0045312731526792
0.0,-0.4,0.2666,0.11499999999999999,0.007473450154066
-1.0,0.1333,-0.2,0.755,0.0010402891784906
0.5,0.1333,0.0666,0.325,0.0034403384197503
-3.0,0.1333,0.0666,0.375,0.1139560490846634
0.0,0.5333,0.3333,0.215,0.0085973059758543
-3.0,0.1333,0.0666,0.175,0.7246799468994141
0.5,0.2666,0.0,0.28500000000000003,0.0032010662835091
0.5,0.1333,0.0666,0.375,0.0022611359599977
-1.5,0.6666,0.0666,0.135,0.2884447872638702
-3.0,0.2,1.0,0.595,0.037289623171091
-3.0,-0.6,-0.8,0.625,0.02634709328413
-3.0,0.8,-0.8,0.745,0.0104662710800766
0.5,0.6666,0.2666,0.265,0.0120867639780044
0.5,0.0,0.0,0.7050000000000001,0.0002161757729481
-1.5,0.0,-0.8,0.375,0.0658476650714874
-1.0,-0.6,-0.8,0.425,0.0260166861116886
-1.5,0.0,0.0,0.135,0.3553296327590942
-1.5,-0.8,1.0,0.505,0.0238601360470056
-3.0,-0.4,-0.2,0.775,0.0012611855054274
0.5,1.0,0.6,0.475,0.0085427490994334
0.0,0.2666,0.0666,0.555,0.000178857560968
-3.0,-0.8,0.0,0.375,0.133631095290184
-1.0,-0.5333,0.3333,0.595,0.0022261086851358
0.0,-0.5333,0.0666,0.195,0.0047053047455847
0.5,0.2666,0.0,0.07500000000000001,0.004276078660041
-3.0,0.2,-0.8,0.575,0.0312306638807058
0.5,-1.0,-0.8,0.525,0.0084393192082643
-1.0,0.0,0.0,0.305,0.0290676280856132
-1.5,-0.5333,0.2666,0.11499999999999999,0.326153576374054
-1.5,1.0,-0.2,0.685,0.0020253956317901
0.0,-0.4,0.2666,0.025,0.0001317601127084
-3.0,0.0,-0.8,0.655,0.0189784094691276
-3.0,-0.4,0.0,0.425,0.0867090076208114
-1.5,0.8,-1.0,0.405,0.0632827132940292
-1.5,0.2666,0.2666,0.335,0.046250931918621
0.5,-0.6,-0.2,0.34500000000000003,0.0015974100679159
-1.0,-0.4,0.3333,0.365,0.0159388985484838
-3.0,0.2,-0.8,0.675,0.0171788334846496
0.5,-0.8,-0.2,0.28500000000000003,0.001428966759704
0.0,-0.4,-0.2,0.745,0.000157831076649
-1.5,-1.0,0.0,0.595,0.0083458749577403
0.5,-1.0,0.6,0.575,0.0056607709266245
-3.0,-0.6,0.0,0.11499999999999999,1.452481746673584
-3.0,0.0,-0.2,0.015,0.4127680957317352
0.5,-0.8,0.6,0.585,0.0048494478687644
0.0,0.2666,-0.2,0.20500000000000002,0.00717194378376
-1.5,-0.5333,0.2666,0.715,0.0038242524024099
-1.5,0.2,-1.0,0.10500000000000001,0.8403601050376892
-1.0,1.0,0.0,0.275,0.047668918967247
-1.0,-0.5333,0.3333,0.505,0.0061373803764581
-3.0,0.8,-0.2,0.335,0.2121446430683136
0.0,-0.4,0.3333,0.275,0.0056416597217321
-1.5,0.8,-0.2,0.675,0.0038232901133596
-1.5,0.5333,0.3333,0.10500000000000001,0.2542858123779297
-1.5,0.1333,-0.2,0.325,0.0569964423775672
-1.0,0.6666,-0.2,0.765,0.0003746265429072
-3.0,-0.8,-0.8,0.725,0.0083373161032795
-1.0,-0.8,1.0,0.535,0.0190228670835495
-3.0,0.6666,0.0,0.535,0.0405527167022228
-1.5,-0.5333,0.0,0.135,0.320682168006897
-3.0,0.1333,0.2666,0.775,0.01194997318089
0.5,0.0,-0.2,0.745,0.0004377914010547
0.0,0.2666,0.2666,0.575,0.0011555756209418
-1.5,-0.6,-1.0,0.185,0.4864006936550141
-1.0,-0.8,-1.0,0.045,0.4840334057807922
-1.0,0.5333,-0.2,0.505,0.0055889897048473
-1.5,0.0,-0.8,0.41500000000000004,0.04031652957201
-1.0,1.0,-0.2,0.335,0.0296185426414012
-1.0,0.2666,-0.2,0.10500000000000001,0.2525099515914917
-1.0,-0.5333,-0.2,0.015,0.1014648899435997
-3.0,0.6666,0.0,0.135,1.0255179405212402
-3.0,-0.6,-1.0,0.295,0.4330404698848725
0.0,-0.4,-0.2,0.165,0.0166510622948408
-3.0,0.6666,0.2666,0.755,0.0058619966730475
-1.0,0.8,-0.8,0.015,0.1210039183497428
0.0,0.1333,-0.2,0.635,0.0002355640463065
-3.0,0.2,-0.2,0.11499999999999999,1.4788365364074707
-3.0,-0.5333,0.2666,0.225,0.3959881961345673
-1.0,0.0,0.6,0.005,0.0005487579037435
0.0,0.2666,0.0666,0.385,0.0008194245165213
0.5,0.1333,-0.2,0.335,0.0014745069202035
0.0,-0.5333,0.0,0.34500000000000003,0.0005562648875638
-1.0,0.6666,0.3333,0.775,0.0019222984556108
-1.0,0.6666,0.0666,0.625,0.0028318529948592
-1.5,0.2666,0.0,0.28500000000000003,0.0862793922424316
0.5,0.8,0.0,0.065,0.0165340267121791
0.5,-0.5333,0.0,0.435,0.0010012100683525
0.5,0.2,0.0,0.505,0.0007397648878395
-1.0,-0.6,1.0,0.675,0.014560155570507
-1.0,0.8,-0.8,0.635,0.0104900561273098
0.0,-0.4,0.3333,0.625,0.0013154357438907
-1.0,0.8,-0.2,0.795,0.0003668568388093
-3.0,0.6666,0.0666,0.065,0.7257575988769531
-3.0,0.2666,0.3333,0.505,0.0306949317455291
-1.0,0.5333,0.2666,0.28500000000000003,0.0382016934454441
-3.0,0.6666,0.2666,0.505,0.0410168394446373
-1.0,-0.4,0.2666,0.385,0.0137847419828176
